node,name
prot1117,SLC38A8
prot1118,CCDC169
prot1119,DHRS7C
prot1120,C16orf96
prot1121,SPDYE16
prot1122,ENO4
prot1123,RIIAD1
prot1124,USP27X
prot1125,TUBB8B
prot1126,ZNF716
prot1127,ZAR1L
prot1128,TTLL8
prot1129,NCBP2L
prot1130,KNCN
prot1131,LRRIQ3
prot1132,FAM177B
prot1133,BTBD11
prot1134,ANKRD36
prot1135,YJEFN3
prot1136,GOLGA8A
prot1137,ANKRD30BL
prot1138,C4orf47
prot1139,ZSWIM8
prot1140,MYH7B
prot1141,ARHGAP32
prot1142,DISP2
prot1143,TBKBP1
prot1144,SRRM4
prot1145,SOBP
prot1146,POM121C
prot1147,LINC00473
prot1148,ZNF839
prot1149,MEIS3P2
prot1150,WASHC1
prot1151,A2ML1
prot1152,CD300LB
prot1153,ZNF815P
prot1154,C15orf62
prot1155,CLCA1
prot1156,COLCA2
prot1157,EFCAB7
prot1158,SFI1
prot1159,ZNF785
prot1160,ERI2
prot1161,DDX11L8
prot1162,YDJC
prot1163,PP2D1
prot1164,GABRR3
prot1165,CYSRT1
prot1166,PMS2P5
prot1167,ZNF850
prot1168,NEURL1B
prot1169,LINC02693
prot1170,GOLGA8B
prot1171,NPIPB5
prot1172,LYRM9
prot1173,RHPN2P1
prot1174,SYCE1L
prot1175,ZNF891
prot1176,-
prot1177,CENPX
prot1178,ZBBX
prot1179,FAM166B
prot1180,CEACAM18
prot1181,PRSS47
prot1182,GNAT3
prot1183,FOXI3
prot1184,IQCF5
prot1185,RNF212B
prot1186,HMSD
prot1187,NOTO
prot1188,CEBPZOS
prot1189,-
prot1190,ZNF724
prot1191,KRTAP9-7
prot1192,BBIP1
prot1193,C12orf71
prot1194,-
prot1195,SMTNL1
prot1196,C17orf100
prot1197,-
prot1198,PDZK1P1
prot1199,-
prot1200,USP17L5
prot1201,ADARB2-AS1
prot1202,LGALS16
prot1203,-
prot1204,CSKMT
prot1205,GSG1L2
prot1206,FABP5P3
prot1207,-
prot1208,ZNF727
prot1209,KRTAP16-1
prot1210,ZNF705G
prot1211,SERPINE3
prot1212,C17orf98
prot1213,MPTX1
prot1214,VGLL3
prot1215,-
prot1216,HIGD1C
prot1217,KRTAP9-6
prot1218,-
prot1219,-
prot1220,ZNF705F
prot1221,HIDE1
prot1222,NCF1C
prot1223,FAM171A2
prot1224,HEPACAM2
prot1225,ARHGEF33
prot1226,BTNL10
prot1227,PHF20L1
prot1228,BECN2
prot1229,MEI4
prot1230,ZNF705E
prot1231,FAM90A22P
prot1232,SNRPGP15
prot1233,EFCAB8
prot1234,FADS2B
prot1235,-
prot1236,TMEM14DP
prot1237,-
prot1238,-
prot1239,SMIM34A
prot1240,WASH4P
prot1241,ELAPOR2
prot1242,FAM90A12P
prot1243,KRTAP29-1
prot1244,CAPN14
prot1245,-
prot1246,GRXCR1
prot1247,-
prot1248,FAM90A5P
prot1249,VSTM5
prot1250,-
prot1251,IQANK1
prot1252,MAGEB17
prot1253,DEFB108C
prot1254,NUDT19
prot1255,CDRT15L2
prot1256,ZNF99
prot1257,FAM90A23P
